country,region,city_name,population,area_km2,density,total_sample,bike_prop,bike_share_pct,total_cycle_km,total_road_km,off_road_km,segregated_wide_km,segregated_narrow_km,segregated_km,painted_km,shared_footway_km,high_los_km,cycle_km_per_1000,segregated_pct_network,painted_pct_network,off_road_pct_network,shared_pct_network,high_los_pct_network
United Kingdom,Northern,London,8825001,1506.85,5856.588910641404,853,0.12208169806273918,12.208169806273919,2361.59,22068.75,894.83,23.46,380.77,404.22999999999996,678.63,383.9,17329.66,0.26760223596575233,1.8316850750495608,3.075072217502124,4.054738034551119,1.739563862928349,78.52578872840554
Slovakia,Eastern,Košice,238138,243.72,977.0966683078943,856.0000000000009,0.12008922814093559,12.008922814093559,51.03,1240.81,32.53,4.2,8,12.2,0,6.3,864.13,0.21428751396249235,0.983228697383161,0,2.621674551301166,0.50773285192737,69.64241100571401
Iceland,Northern,Reykjavík,228231,244.57,933.1929508934048,874.0000000000011,0.11951246114540721,11.951246114540721,325.6,1131.26,235.67,2.74,16.38,19.119999999999997,10.91,59.9,684.31,1.4266247792806412,1.6901508052967487,0.9644113643194314,20.832523027420752,5.294980817849124,60.4909569860156
Romania,Eastern,Piatra Neamţ,110819,77.33,1433.0660804345016,868,0.11824340335550307,11.824340335550307,25.61,290.86,4.33,0,5.48,5.48,0,15.8,104.29,0.2310975554733394,1.8840679364642783,0,1.4886887162208622,5.432166678126934,35.85573815581379
United Kingdom,Northern,Cardiff,362756,149.62,2424.515439112418,849.9999999999999,0.11783054633657578,11.783054633657578,163.49,1779.46,80.48,3.31,14.77,18.08,20.35,44.59,1318.76,0.45068861714210107,1.0160385734998256,1.1436053634248593,4.522720375844357,2.5058163712586965,74.11012329583131
Spain,Southern,Barcelona,3719096,101.34,36699.190842707714,871,0.11732757695331582,11.732757695331582,350.54,1846.59,62.7,79.29,136.47,215.76,55.74,16.35,1212.91,0.094254087552459,11.68423959839488,3.0185368706643056,3.3954478254512375,0.8854158205124041,65.68377387508869
Turkey,Southern,Antalya,1339763,1404.94,953.6086950332398,859,0.11692600062989433,11.692600062989433,10.88,800.65,1.44,0.14,5.9,6.04,0.67,2.73,509.64,0.008120839282768669,0.7543870605133329,0.08368200836820083,0.17985386873165554,0.34097295947043027,63.65328170861176
Belgium,Western,Bruxelles / Brussel,1229583,33.09,37158.7488667271,854.0000000000002,0.11686345756198308,11.686345756198307,149.37,588.83,15.62,9.98,41.33,51.31,70.15,12.29,417.62,0.12148020914407567,8.713890256950222,11.913455496493047,2.652718101998879,2.0871898510605775,70.92369614319922
Spain,Southern,Oviedo,217552,186.77,1164.81233602827,853,0.11671757758057842,11.671757758057842,43.33,996.19,30.76,0,2.71,2.71,7.72,2.15,398.29,0.19917077296462454,0.27203645890844114,0.774952569288991,3.0877643822965495,0.21582228289784075,39.981328862967906
Bulgaria,Eastern,Burgas,205329,286.55,716.5555749432908,852.9999999999998,0.11584922293149691,11.584922293149692,58.14,989.16,12.55,1.97,30.06,32.03,2.13,11.42,481.83,0.2831553263299388,3.238101015002629,0.21533422297707147,1.2687532856160784,1.1545149419709653,48.711027538517534
Poland,Eastern,Warszawa,1794166,517.19,3469.065527175699,851,0.11419684128673518,11.419684128673518,817.59,7518.9,385.63,48.44,269.1,317.54,53.17,61.26,5326.19,0.45569362032275723,4.223224141829258,0.7071513120270253,5.128808735320327,0.8147468379683199,70.83735652821557
Macedonia,Other,Skopje,428539,109.36,3918.608266276518,848,0.11395336949482546,11.395336949482546,100.24,1260.37,58.8,0.69,25.13,25.82,1.97,13.64,876.25,0.23391103260146684,2.048604774788356,0.15630330775883275,4.66529669858851,1.0822218872235931,69.52323524044527
Italy,Southern,Palermo,640720,160.23,3998.7517942957,861,0.11222906192760204,11.222906192760204,61.74,1517,8.4,1.07,21.34,22.41,3.73,27.2,969.54,0.09636034461231115,1.4772577455504285,0.24588002636783124,0.5537244561634805,1.7930125247198418,63.9116677653263
Czech Republic,Eastern,Ostrava,284982,214.21,1330.386069744643,846,0.10851622039860924,10.851622039860924,151.85,1827.05,89.12,1.41,15.77,17.18,18.11,27.44,1247.26,0.5328406706388473,0.9403136203169044,0.9912153471443037,4.877808489094442,1.5018746066062778,68.26633097069046
Ireland,Northern,Dublin,1347359,118.62,11358.615747765974,853.0000000000006,0.10770524569918664,10.770524569918665,242.17,2231.56,42.51,5.1,45.62,50.72,134,14.94,1786.16,0.1797368036284316,2.272849486457904,6.004767965011024,1.9049454193479,0.6694868163974977,80.04086827152307
United Kingdom,Northern,Glasgow,1000740,713.89,1401.8126041827172,882.0000000000001,0.10661208784342363,10.661208784342364,557.71,6097.87,327.29,3.24,64.65,67.89,61,101.54,4278.56,0.5572975997761657,1.1133395759502909,1.0003493022973595,5.367283986047588,1.6651716091028508,70.16482804651461
Slovakia,Eastern,Bratislava,440948,153.17,2878.8143892407134,849.0000000000006,0.10535040187767943,10.535040187767942,161.9,2496.03,60.36,4.26,27.26,31.520000000000003,43.25,26.78,1810.6,0.36716347505828356,1.2628053348717765,1.7327516095559747,2.4182401653826275,1.0729037711886475,72.53919223727279
Croatia,Southern,Zagreb,790017,305.88,2582.767752059631,852.9999999999997,0.10458608087677097,10.458608087677097,340.35,2987.59,167.54,3.18,102.06,105.24000000000001,42.61,24.96,2111.18,0.43081351413956914,3.522571704952821,1.426233184606991,5.607864532951308,0.8354560029990727,70.66498415110506
Portugal,Southern,Braga,181494,4.08,44483.82352941176,846.9999999999999,0.10269261030889501,10.269261030889501,6.43,93.53,3.64,0,1.25,1.25,1.39,0.15,59.32,0.03542816842430053,1.3364695819523147,1.486154175130974,3.8917994226451404,0.16037634983427776,63.42350048112905
